problem,n,type_instance,M,mean,median,q1,q3,p2,p98
QUBO,64,5,13,319.200012,322.000000,286.750000,342.000000,268.000000,398.040009
QUBO,64,4,13,340.200012,342.000000,334.000000,350.000000,291.959991,370.040009
QUBO,128,1,13,452.359985,455.000000,435.750000,470.000000,408.940002,486.059998
QUBO,128,3,13,1227.660034,1224.500000,1194.000000,1254.500000,1141.880005,1365.040039
QUBO,256,4,13,2676.340088,2680.500000,2590.250000,2759.000000,2484.860107,2876.459961
QUBO,256,2,13,1255.839966,1249.500000,1215.000000,1301.000000,1153.699951,1367.280029
QUBO,256,5,13,2602.060059,2582.000000,2527.000000,2684.250000,2387.959961,2842.620117
QUBO,256,3,13,3345.020020,3352.500000,3268.000000,3408.250000,3122.899902,3572.360107
QUBO,128,0,13,596.000000,593.500000,580.750000,611.250000,560.859985,640.099976
QUBO,128,4,13,960.979980,960.500000,912.000000,1016.000000,844.960022,1074.040039
QUBO,64,1,13,153.179993,154.000000,144.250000,158.000000,135.979996,179.000000
QUBO,128,2,13,441.420013,437.500000,423.750000,457.000000,393.920013,485.040009
QUBO,256,0,13,1651.439941,1650.500000,1613.750000,1693.250000,1546.520020,1750.420044
QUBO,64,0,13,206.979996,207.000000,200.750000,215.000000,182.979996,224.000000
QUBO,64,2,14,142.520004,143.000000,134.000000,149.250000,125.000000,160.020004
QUBO,128,5,14,934.280029,929.000000,889.500000,975.500000,830.960022,1062.000000
QUBO,64,3,14,427.600006,426.000000,412.000000,446.000000,378.000000,473.079987
QUBO,256,1,14,1320.500000,1311.500000,1278.500000,1358.000000,1217.939941,1445.020020
QUBO,64,5,14,317.739990,321.000000,280.750000,348.000000,267.799988,396.000000
QUBO,64,4,14,339.160004,342.000000,331.500000,350.000000,304.739990,372.000000
QUBO,128,1,14,452.540009,456.000000,441.000000,467.250000,410.859985,490.040009
QUBO,128,3,14,1227.000000,1218.500000,1189.500000,1257.500000,1123.979980,1359.079956
QUBO,256,4,14,2648.840088,2643.000000,2547.500000,2752.750000,2425.979980,2875.500000
QUBO,256,2,14,1246.140015,1244.000000,1196.000000,1280.750000,1138.900024,1375.160034
QUBO,256,5,14,2596.080078,2577.000000,2504.750000,2675.750000,2383.919922,2873.439941
QUBO,256,3,14,3344.639893,3342.500000,3231.000000,3419.500000,3167.580078,3594.239990
QUBO,128,0,14,595.840027,593.500000,581.750000,615.000000,540.859985,637.000000
QUBO,128,4,14,957.419983,960.500000,908.000000,996.250000,850.880005,1074.040039
QUBO,64,1,14,152.860001,154.000000,141.000000,158.000000,135.000000,179.000000
QUBO,128,2,14,440.880005,440.500000,423.250000,459.250000,391.959991,481.119995
QUBO,256,0,14,1641.920044,1636.500000,1592.000000,1684.500000,1548.599976,1772.119995
QUBO,64,0,14,207.300003,207.000000,201.750000,213.000000,185.000000,224.000000
QUBO,64,2,15,142.839996,143.000000,133.000000,149.500000,126.959999,160.000000
QUBO,128,5,15,931.820007,928.000000,895.750000,970.750000,827.979980,1045.180054
QUBO,64,3,15,431.579987,429.000000,417.500000,446.500000,387.959991,477.160004
QUBO,256,1,15,1303.420044,1302.000000,1259.000000,1334.250000,1202.760010,1425.260010
QUBO,64,5,15,319.059998,322.000000,280.750000,342.000000,267.959991,396.040009
QUBO,64,4,15,341.019989,343.000000,334.000000,350.000000,308.000000,372.000000
QUBO,128,1,15,454.359985,455.000000,438.750000,469.250000,415.959991,490.160004
QUBO,128,3,15,1234.800049,1235.500000,1194.500000,1265.500000,1146.780029,1365.000000
QUBO,256,4,15,2659.939941,2647.000000,2558.500000,2752.750000,2385.760010,2955.500000
QUBO,256,2,15,1233.920044,1227.500000,1184.000000,1270.500000,1116.880005,1373.699951
QUBO,256,5,15,2569.780029,2568.500000,2475.250000,2647.750000,2316.300049,2865.020020
QUBO,256,3,15,3298.120117,3302.500000,3232.500000,3369.750000,3106.020020,3489.600098
QUBO,128,0,15,599.359985,597.000000,580.750000,619.000000,557.719971,643.159973
QUBO,128,4,15,954.859985,956.500000,905.000000,1001.000000,856.919983,1078.000000
QUBO,64,1,15,152.919998,154.000000,144.000000,158.000000,136.000000,179.000000
QUBO,128,2,15,441.380005,436.500000,426.000000,459.750000,395.899994,483.040009
QUBO,256,0,15,1638.420044,1640.500000,1592.500000,1683.000000,1486.800049,1784.560059
QUBO,64,0,15,207.479996,208.000000,200.000000,214.250000,186.000000,224.000000
QUBO,64,2,16,143.119995,143.000000,134.000000,151.000000,127.000000,161.000000
QUBO,128,5,16,924.799988,920.500000,893.000000,959.250000,820.719971,1039.300049
QUBO,64,3,16,430.000000,426.000000,414.000000,449.000000,387.920013,475.040009
QUBO,256,1,16,1302.300049,1301.500000,1255.750000,1348.250000,1186.479980,1438.160034
QUBO,64,5,16,319.540009,324.000000,284.750000,346.500000,265.959991,398.000000
QUBO,64,4,16,340.760010,341.000000,334.000000,350.000000,312.000000,372.000000
QUBO,128,1,16,454.760010,457.000000,438.500000,472.000000,410.920013,492.119995
QUBO,128,3,16,1221.180054,1216.000000,1184.000000,1262.250000,1119.520020,1363.119995
QUBO,256,4,16,2625.879883,2623.000000,2530.250000,2708.000000,2406.939941,2859.199951
QUBO,256,2,16,1220.800049,1219.500000,1180.750000,1264.000000,1112.780029,1330.180054
QUBO,256,5,16,2518.800049,2495.500000,2397.750000,2612.750000,2295.639893,2813.080078
QUBO,256,3,16,3275.000000,3258.500000,3199.500000,3355.500000,3043.659912,3505.020020
QUBO,128,0,16,595.520020,597.000000,577.750000,611.500000,540.880005,639.080017
QUBO,128,4,16,955.940002,951.500000,912.750000,1000.000000,834.640015,1074.079956
QUBO,64,1,16,152.679993,154.000000,144.750000,157.250000,135.979996,179.000000
QUBO,128,2,16,437.239990,436.500000,419.000000,455.500000,389.980011,485.040009
QUBO,256,0,16,1610.319946,1609.000000,1560.500000,1653.250000,1495.000000,1743.300049
QUBO,64,0,16,207.179993,207.000000,200.000000,215.000000,185.979996,224.000000
QUBO,64,2,17,142.820007,143.000000,133.000000,151.000000,126.959999,160.020004
QUBO,128,5,17,927.340027,916.500000,898.000000,964.250000,817.859985,1055.099976
QUBO,64,3,17,427.839996,426.000000,413.500000,446.000000,386.000000,469.040009
QUBO,256,1,17,1290.939941,1279.500000,1246.250000,1328.250000,1207.500000,1435.239990
QUBO,64,5,17,319.760010,325.000000,280.750000,346.000000,263.859985,398.000000
QUBO,64,4,17,342.720001,343.000000,334.000000,350.000000,319.760010,372.000000
QUBO,128,1,17,452.299988,454.000000,439.000000,469.250000,405.799988,492.119995
QUBO,128,3,17,1225.560059,1220.500000,1185.000000,1255.250000,1136.859985,1339.640015
QUBO,256,4,17,2601.840088,2594.500000,2493.500000,2707.500000,2359.780029,2837.020020
QUBO,256,2,17,1192.839966,1187.000000,1149.000000,1230.750000,1079.900024,1324.300049
QUBO,256,5,17,2494.159912,2472.000000,2403.750000,2565.750000,2263.639893,2796.979980
QUBO,256,3,17,3250.139893,3250.000000,3120.500000,3357.250000,2964.899902,3556.199951
QUBO,128,0,17,599.539978,600.500000,583.000000,614.250000,556.919983,641.039978
QUBO,128,4,17,956.799988,953.000000,916.000000,1001.750000,848.919983,1076.040039
QUBO,64,1,17,152.839996,154.000000,145.000000,158.000000,135.979996,179.000000
QUBO,128,2,17,439.559998,437.000000,426.000000,452.250000,400.959991,487.000000
QUBO,256,0,17,1596.140015,1588.000000,1545.000000,1642.000000,1481.000000,1743.619995
QUBO,64,0,17,207.300003,207.000000,199.750000,213.250000,183.979996,224.000000
QUBO,64,2,18,143.139999,143.000000,134.000000,151.000000,126.919998,161.000000
QUBO,128,5,18,924.400024,924.500000,878.750000,975.000000,806.919983,1052.199951
QUBO,64,3,18,430.500000,427.000000,414.000000,448.250000,381.959991,475.040009
QUBO,256,1,18,1273.719971,1271.000000,1216.750000,1335.000000,1130.880005,1416.020020
QUBO,64,5,18,319.619995,324.000000,288.500000,344.500000,265.799988,398.040009
QUBO,64,4,18,340.160004,342.500000,331.000000,350.000000,307.799988,372.000000
QUBO,128,1,18,454.119995,457.000000,438.750000,469.500000,407.920013,492.119995
